iso_time,unix_time,window_s,samplerate_hz,label,confidence
2025-12-26T01:19:27.121+03:00,1766701167.122,1.000,24000,Silence,0.828496
2025-12-26T01:19:30.125+03:00,1766701170.125,1.000,24000,Silence,1.000000
2025-12-26T01:19:33.124+03:00,1766701173.125,1.000,24000,Silence,1.000000
2025-12-26T01:19:36.361+03:00,1766701176.362,1.000,24000,Silence,1.000000
2025-12-26T01:19:39.408+03:00,1766701179.409,1.000,24000,Silence,1.000000
2025-12-26T01:19:42.353+03:00,1766701182.354,1.000,24000,Silence,1.000000
2025-12-26T01:19:45.349+03:00,1766701185.350,1.000,24000,Silence,1.000000
2025-12-26T01:19:48.351+03:00,1766701188.351,1.000,24000,Silence,1.000000
2025-12-26T01:19:51.363+03:00,1766701191.363,1.000,24000,Silence,0.735041
2025-12-26T01:19:54.348+03:00,1766701194.348,1.000,24000,other,0.781989
2025-12-26T01:19:57.347+03:00,1766701197.347,1.000,24000,Silence,1.000000
2025-12-26T01:20:00.349+03:00,1766701200.350,1.000,24000,Silence,0.999668
2025-12-26T01:20:03.347+03:00,1766701203.347,1.000,24000,Silence,0.981035
2025-12-26T01:20:06.355+03:00,1766701206.356,1.000,24000,Silence,0.919120
2025-12-26T01:20:09.350+03:00,1766701209.351,1.000,24000,Silence,1.000000
2025-12-26T01:20:12.349+03:00,1766701212.349,1.000,24000,Silence,1.000000
2025-12-26T01:20:15.360+03:00,1766701215.360,1.000,24000,Silence,1.000000
2025-12-26T01:20:18.360+03:00,1766701218.361,1.000,24000,Silence,1.000000
2025-12-26T01:20:21.661+03:00,1766701221.661,1.000,24000,Silence,1.000000
2025-12-26T01:20:24.635+03:00,1766701224.635,1.000,24000,Silence,0.996507
2025-12-26T01:20:27.695+03:00,1766701227.696,1.000,24000,Silence,0.559762
2025-12-26T01:20:30.633+03:00,1766701230.633,1.000,24000,speech,0.940881
2025-12-26T01:20:35.928+03:00,1766701235.929,1.000,24000,other,0.807227
2025-12-26T01:20:36.642+03:00,1766701236.642,1.000,24000,Silence,0.914755
2025-12-26T01:20:39.645+03:00,1766701239.646,1.000,24000,Silence,1.000000
2025-12-26T01:20:42.639+03:00,1766701242.639,1.000,24000,Silence,1.000000
2025-12-26T01:20:45.633+03:00,1766701245.634,1.000,24000,Silence,1.000000
2025-12-26T01:20:48.631+03:00,1766701248.632,1.000,24000,Silence,1.000000
2025-12-26T01:20:51.637+03:00,1766701251.637,1.000,24000,Silence,1.000000
2025-12-26T01:20:54.632+03:00,1766701254.633,1.000,24000,Silence,1.000000
2025-12-26T01:20:57.633+03:00,1766701257.634,1.000,24000,other,0.514520
2025-12-26T01:21:00.633+03:00,1766701260.633,1.000,24000,speech,0.881858
2025-12-26T01:21:04.368+03:00,1766701264.369,1.000,24000,music,0.401063
2025-12-26T01:21:07.852+03:00,1766701267.852,1.000,24000,other,0.537536
2025-12-26T01:21:11.362+03:00,1766701271.362,1.000,24000,speech,0.726759
2025-12-26T01:21:16.379+03:00,1766701276.379,1.000,24000,other,0.655632
2025-12-26T01:21:18.025+03:00,1766701278.026,1.000,24000,music,0.372084
2025-12-26T01:21:21.019+03:00,1766701281.020,1.000,24000,speech,0.689763
2025-12-26T01:21:24.026+03:00,1766701284.027,1.000,24000,speech,0.433356
2025-12-26T01:21:28.706+03:00,1766701288.707,1.000,24000,other,0.467361
2025-12-26T01:21:30.011+03:00,1766701290.012,1.000,24000,other,0.569627
2025-12-26T01:21:33.009+03:00,1766701293.009,1.000,24000,speech,0.882449
2025-12-26T01:21:36.029+03:00,1766701296.029,1.000,24000,other,0.623282
2025-12-26T01:21:39.024+03:00,1766701299.024,1.000,24000,other,0.357334
2025-12-26T01:21:42.685+03:00,1766701302.685,1.000,24000,music,0.517484
2025-12-26T01:21:45.697+03:00,1766701305.697,1.000,24000,speech,0.871280
2025-12-26T01:21:48.843+03:00,1766701308.843,1.000,24000,other,0.473385
2025-12-26T01:21:51.678+03:00,1766701311.678,1.000,24000,other,0.431452
2025-12-26T01:21:55.498+03:00,1766701315.498,1.000,24000,other,0.648354
2025-12-26T01:22:00.622+03:00,1766701320.622,1.000,24000,speech,0.649864
2025-12-26T01:24:57.031+03:00,1766701497.032,1.000,48000,speech,0.925368
2025-12-26T01:25:02.751+03:00,1766701502.752,1.000,48000,speech,0.973043
2025-12-26T01:25:08.740+03:00,1766701508.741,1.000,48000,speech,0.504247
2025-12-26T01:25:14.749+03:00,1766701514.749,1.000,48000,Silence,1.000000
2025-12-26T01:25:20.716+03:00,1766701520.716,1.000,48000,speech,0.981731
2025-12-26T01:25:26.731+03:00,1766701526.732,1.000,48000,speech,0.997770
2025-12-26T01:25:32.735+03:00,1766701532.736,1.000,48000,speech,0.980762
2025-12-26T01:25:40.773+03:00,1766701540.774,1.000,48000,Silence,1.000000
2025-12-26T01:25:44.722+03:00,1766701544.722,1.000,48000,Silence,1.000000
2025-12-26T01:25:50.714+03:00,1766701550.715,1.000,48000,Silence,0.999990
2025-12-26T01:25:56.725+03:00,1766701556.725,1.000,48000,Silence,0.999903
